FECHA (YYMMDD);HORA (HHMM);;
180730;0100;85,7716;
180730;0200;71,1989;
180730;0300;60,5696;
180730;0400;27,9291;
180730;0500;263,58;
180730;0600;70,0732;
180730;0700;299,71;
180730;0800;174,391;
180730;0900;141,111;
180730;1000;250,375;
180730;1100;218,106;
180730;1200;231,246;
180730;1300;213,806;
180730;1400;212,103;
180730;1500;215,268;
180730;1600;208,536;
180730;1700;204,228;
180730;1800;175,208;
180730;1900;192,938;
180730;2000;175,622;
180730;2100;67,8043;
180730;2200;40,7366;
180730;2300;265,871;
180731;0000;359,036;
180731;0100;44,0295;
180731;0200;54,2397;
180731;0300;49,9451;
180731;0400;44,9628;
180731;0500;45,8959;
180731;0600;74,7413;
180731;0700;88,0911;
180731;0800;106,797;
180731;0900;90,6238;
180731;1000;243,889;
180731;1100;225,664;
180731;1200;240,864;
180731;1300;224,148;
180731;1400;225,16;
180731;1500;221,179;
180731;1600;222,105;
180731;1700;219,383;
180731;1800;212,364;
180731;1900;15,4002;
180731;2000;58,7976;
180731;2100;63,1752;
180731;2200;75,437;
180731;2300;78,4767;
180801;0000;67,5594;
180801;0100;23,5156;
180801;0200;47,2975;
180801;0300;40,7362;
180801;0400;48,9291;
180801;0500;61,4093;
180801;0600;56,5249;
180801;0700;68,2377;
180801;0800;73,6046;
180801;0900;83,0815;
180801;1000;70,6989;
180801;1100;300,041;
180801;1200;290,317;
180801;1300;299,17;
180801;1400;267,738;
180801;1500;254,04;
180801;1600;251,486;
180801;1700;258,896;
180801;1800;266,574;
180801;1900;273,673;
180801;2000;265,893;
180801;2100;264,929;
180801;2200;295,029;
180801;2300;293,364;
180802;0000;287,583;
180802;0100;289,287;
180802;0200;297,36;
180802;0300;317,947;
180802;0400;48,4694;
180802;0500;44,063;
180802;0600;94,5253;
180802;0700;116,055;
180802;0800;87,59;
180802;0900;78,4882;
180802;1000;67,0294;
180802;1100;284,896;
180802;1200;278,519;
180802;1300;270,866;
180802;1400;291,065;
180802;1500;317,705;
180802;1600;299,125;
180802;1700;298,664;
180802;1800;289,603;
180802;1900;154,857;
180802;2000;75,9646;
180802;2100;92,661;
180802;2200;97,2947;
180802;2300;87,9406;
180803;0000;88,0916;
180803;0100;93,8744;
180803;0200;70,9082;
180803;0300;127,639;
180803;0400;122,764;
180803;0500;109,487;
180803;0600;144,918;
180803;0700;121,589;
180803;0800;168,756;
180803;0900;154,051;
180803;1000;173,954;
180803;1100;204,71;
180803;1200;230,067;
180803;1300;216,018;
180803;1400;213,542;
180803;1500;210,548;
180803;1600;209,041;
180803;1700;207,124;
180803;1800;203,863;
180803;1900;198,604;
180803;2000;191,615;
180803;2100;188,868;
180803;2200;174,455;
180803;2300;162,721;
180804;0000;189,062;
180804;0100;164,466;
180804;0200;135,016;
180804;0300;172,62;
180804;0400;164,677;
180804;0500;81,0697;
180804;0600;108,417;
180804;0700;125,156;
180804;0800;112,062;
180804;0900;54,5733;
180804;1000;24,1604;
180804;1100;253,936;
180804;1200;210,742;
180804;1300;213,59;
180804;1400;209,344;
180804;1500;201,843;
180804;1600;205,814;
180804;1700;196,657;
180804;1800;197,656;
180804;1900;199,196;
180804;2000;110,706;
180804;2100;64,6195;
180804;2200;39,1354;
180804;2300;335,153;
180805;0000;38,7216;
180805;0100;219,266;
180805;0200;50,6275;
180805;0300;202,6;
180805;0400;85,3512;
180805;0500;77,8525;
180805;0600;27,2716;
180805;0700;295,116;
180805;0800;52,5382;
180805;0900;55,9207;
180805;1000;55,4864;
180805;1100;229,296;
180805;1200;214,186;
180805;1300;256,908;
180805;1400;258,756;
180805;1500;216,36;
180805;1600;211,243;
180805;1700;211,97;
180805;1800;50,2284;
180805;1900;47,9205;
180805;2000;13,9963;
180805;2100;59,389;
180805;2200;59,5241;
180805;2300;27,4441;
180806;0000;109,249;
180806;0100;221,924;
180806;0200;47,9987;
180806;0300;263,502;
180806;0400;63,7665;
180806;0500;79,8547;
180806;0600;175,058;
180806;0700;9,56142;
180806;0800;46,8028;
180806;0900;284,13;
180806;1000;223,186;
180806;1100;40,9428;
180806;1200;277,525;
180806;1300;247,654;
180806;1400;249,373;
180806;1500;264,506;
180806;1600;251,657;
180806;1700;256,904;
180806;1800;347,18;
180806;1900;51,3058;
180806;2000;49,5896;
180806;2100;44,631;
180806;2200;47,1244;
180806;2300;34,1171;
180807;0000;353,303;
180807;0100;36,4438;
180807;0200;262,209;
180807;0300;203,654;
180807;0400;205,157;
180807;0500;191,327;
180807;0600;178,502;
180807;0700;151,038;
180807;0800;177,831;
180807;0900;170,98;
180807;1000;211,553;
180807;1100;209,726;
180807;1200;206,91;
180807;1300;206,993;
180807;1400;212,074;
180807;1500;208,522;
180807;1600;204,025;
180807;1700;201,93;
180807;1800;196,945;
180807;1900;196,445;
180807;2000;186,076;
180807;2100;176,94;
180807;2200;175,043;
180807;2300;167,069;
180808;0000;143,759;
180808;0100;153,665;
180808;0200;159,245;
180808;0300;172,077;
180808;0400;170,278;
180808;0500;160,553;
180808;0600;161,109;
180808;0700;150,37;
180808;0800;147,23;
180808;0900;111,106;
180808;1000;243,889;
180808;1100;204,699;
180808;1200;168,16;
180808;1300;138,434;
180808;1400;223,592;
180808;1500;215,594;
180808;1600;215,757;
180808;1700;221,641;
180808;1800;155,712;
180808;1900;38,9174;
180808;2000;28,8037;
180808;2100;25,05;
180808;2200;30,294;
180808;2300;33,3455;
180809;0000;62,2294;
180809;0100;68,4453;
180809;0200;353,55;
180809;0300;23,1081;
180809;0400;231,032;
180809;0500;183,873;
180809;0600;55,9925;
180809;0700;52,5031;
180809;0800;57,6212;
180809;0900;27,2846;
180809;1000;269,566;
180809;1100;355,741;
180809;1200;277,723;
180809;1300;252,531;
180809;1400;271,891;
180809;1500;278,194;
180809;1600;278,432;
180809;1700;295,76;
180809;1800;335,616;
180809;1900;311,765;
180809;2000;55,5935;
180809;2100;33,2588;
180809;2200;333,733;
180809;2300;203,684;
180810;0000;187,903;
180810;0100;180,381;
180810;0200;179,76;
180810;0300;178,537;
180810;0400;180,498;
180810;0500;170,633;
180810;0600;165,628;
180810;0700;67,8519;
180810;0800;206,267;
180810;0900;159,494;
180810;1000;211,781;
180810;1100;255,014;
180810;1200;290,819;
180810;1300;132,605;
180810;1400;184,933;
180810;1500;279,532;
180810;1600;261,426;
180810;1700;233,053;
180810;1800;310,012;
180810;1900;41,6578;
180810;2000;36,5347;
180810;2100;43,8252;
180810;2200;31,3164;
180810;2300;49,4462;
180811;0000;97,9069;
180811;0100;112,415;
180811;0200;135,668;
180811;0300;239,166;
180811;0400;169,333;
180811;0500;177,7;
180811;0600;226,591;
180811;0700;65,9784;
180811;0800;57,0037;
180811;0900;45,5095;
180811;1000;48,4888;
180811;1100;292,305;
180811;1200;282,02;
180811;1300;290,254;
180811;1400;269,197;
180811;1500;232,726;
180811;1600;239,937;
180811;1700;270,74;
180811;1800;8,39818;
180811;1900;33,8867;
180811;2000;39,2073;
180811;2100;41,4694;
180811;2200;88,8278;
180811;2300;49,7333;
180812;0000;58,371;
180812;0100;71,0172;
180812;0200;151,372;
180812;0300;109,386;
180812;0400;76,4661;
180812;0500;86,9061;
180812;0600;73,0798;
