FECHA (YYMMDD);HORA (HHMM);;
180730;0100;164,261;
180730;0200;154,653;
180730;0300;155,191;
180730;0400;167,281;
180730;0500;147,156;
180730;0600;159,866;
180730;0700;92,9647;
180730;0800;157,336;
180730;0900;127,388;
180730;1000;332,198;
180730;1100;215,807;
180730;1200;243,879;
180730;1300;224,734;
180730;1400;219,129;
180730;1500;220,252;
180730;1600;211,746;
180730;1700;208,548;
180730;1800;195,288;
180730;1900;195,189;
180730;2000;143,258;
180730;2100;113,611;
180730;2200;135,631;
180730;2300;236,071;
180731;0000;91,0409;
180731;0100;106,504;
180731;0200;147,85;
180731;0300;125,828;
180731;0400;154,438;
180731;0500;99,3423;
180731;0600;155,599;
180731;0700;163,888;
180731;0800;167,275;
180731;0900;137,89;
180731;1000;256,175;
180731;1100;221,758;
180731;1200;250,353;
180731;1300;236,955;
180731;1400;237,17;
180731;1500;226,453;
180731;1600;228,958;
180731;1700;223,251;
180731;1800;217,799;
180731;1900;58,3567;
180731;2000;96,7631;
180731;2100;151,687;
180731;2200;181,611;
180731;2300;175,466;
180801;0000;160,164;
180801;0100;59,0868;
180801;0200;98,0983;
180801;0300;160,705;
180801;0400;143,024;
180801;0500;127,369;
180801;0600;;
180801;0700;130,317;
180801;0800;;
180801;0900;126,331;
180801;1000;55,3626;
180801;1100;318,191;
180801;1200;309,11;
180801;1300;300,851;
180801;1400;286,543;
180801;1500;264,62;
180801;1600;280,053;
180801;1700;259,768;
180801;1800;263,838;
180801;1900;257,567;
180801;2000;264,119;
180801;2100;274,676;
180801;2200;302,751;
180801;2300;297,323;
180802;0000;300,347;
180802;0100;294,685;
180802;0200;307,009;
180802;0300;325,913;
180802;0400;47,7893;
180802;0500;146,748;
180802;0600;94,5844;
180802;0700;130,912;
180802;0800;88,1649;
180802;0900;71,4109;
180802;1000;70,4677;
180802;1100;297,505;
180802;1200;289,389;
180802;1300;290,364;
180802;1400;300,255;
180802;1500;308,32;
180802;1600;310,007;
180802;1700;313,129;
180802;1800;290,856;
180802;1900;184,205;
180802;2000;160,084;
180802;2100;180,94;
180802;2200;175,272;
180802;2300;169,571;
180803;0000;175,739;
180803;0100;161,834;
180803;0200;105,884;
180803;0300;180,588;
180803;0400;182,761;
180803;0500;180,606;
180803;0600;182,049;
180803;0700;196,001;
180803;0800;182,262;
180803;0900;170,271;
180803;1000;175,479;
180803;1100;195,827;
180803;1200;233,884;
180803;1300;228,2;
180803;1400;221,914;
180803;1500;219,89;
180803;1600;219,417;
180803;1700;219,511;
180803;1800;215,766;
180803;1900;208,951;
180803;2000;204,571;
180803;2100;153,614;
180803;2200;173,234;
180803;2300;153,635;
180804;0000;163,074;
180804;0100;139,181;
180804;0200;173,225;
180804;0300;184,948;
180804;0400;160,411;
180804;0500;144,138;
180804;0600;180,52;
180804;0700;;
180804;0800;175,169;
180804;0900;82,5593;
180804;1000;34,0855;
180804;1100;268,256;
180804;1200;216,919;
180804;1300;220,979;
180804;1400;213,838;
180804;1500;209,336;
180804;1600;215,276;
180804;1700;200,074;
180804;1800;206,414;
180804;1900;206,268;
180804;2000;134,742;
180804;2100;138,637;
180804;2200;76,1017;
180804;2300;298,149;
180805;0000;155,551;
180805;0100;221,33;
180805;0200;114,231;
180805;0300;208,173;
180805;0400;144,32;
180805;0500;129,265;
180805;0600;30,7367;
180805;0700;165,2;
180805;0800;130,43;
180805;0900;128,505;
180805;1000;55,097;
180805;1100;238,596;
180805;1200;215,946;
180805;1300;269,969;
180805;1400;278,251;
180805;1500;224,876;
180805;1600;208,434;
180805;1700;232,233;
180805;1800;51,7764;
180805;1900;41,1737;
180805;2000;2,87831;
180805;2100;75,6204;
180805;2200;104,717;
180805;2300;279,557;
180806;0000;193,311;
180806;0100;174,842;
180806;0200;70,2302;
180806;0300;245,375;
180806;0400;170,405;
180806;0500;148,207;
180806;0600;201,05;
180806;0700;117,405;
180806;0800;60,9981;
180806;0900;313,042;
180806;1000;288,437;
180806;1100;38,5945;
180806;1200;302,005;
180806;1300;271,71;
180806;1400;269,606;
180806;1500;281,075;
180806;1600;256,985;
180806;1700;254,249;
180806;1800;332,654;
180806;1900;64,2917;
180806;2000;63,9874;
180806;2100;46,6992;
180806;2200;297,534;
180806;2300;8,34825;
180807;0000;307,947;
180807;0100;16,4156;
180807;0200;267,67;
180807;0300;195,388;
180807;0400;198,277;
180807;0500;186,782;
180807;0600;175,166;
180807;0700;169,235;
180807;0800;179,804;
180807;0900;164,537;
180807;1000;202,763;
180807;1100;211,188;
180807;1200;208,132;
180807;1300;209,537;
180807;1400;215,38;
180807;1500;214,725;
180807;1600;210,425;
180807;1700;210,449;
180807;1800;209,318;
180807;1900;202,328;
180807;2000;192,752;
180807;2100;180,181;
180807;2200;183,617;
180807;2300;181,466;
180808;0000;176,695;
180808;0100;184,323;
180808;0200;184,591;
180808;0300;184,548;
180808;0400;185,325;
180808;0500;175,431;
180808;0600;179,951;
180808;0700;186,191;
180808;0800;183,109;
180808;0900;162,83;
180808;1000;237,601;
180808;1100;207,067;
180808;1200;162,979;
180808;1300;302,873;
180808;1400;234,377;
180808;1500;213,582;
180808;1600;227,045;
180808;1700;217,188;
180808;1800;145,985;
180808;1900;20,4507;
180808;2000;330,266;
180808;2100;326,029;
180808;2200;6,58283;
180808;2300;78,1444;
180809;0000;135,022;
180809;0100;99,8641;
180809;0200;296,019;
180809;0300;51,6877;
180809;0400;240,403;
180809;0500;211,217;
180809;0600;78,3339;
180809;0700;157,482;
180809;0800;95,1158;
180809;0900;282,684;
180809;1000;288,632;
180809;1100;330,147;
180809;1200;294,125;
180809;1300;271,441;
180809;1400;299,023;
180809;1500;307,212;
180809;1600;314,358;
180809;1700;310,028;
180809;1800;344,356;
180809;1900;356,615;
180809;2000;18,0524;
180809;2100;31,867;
180809;2200;325,863;
180809;2300;213,936;
180810;0000;205,079;
180810;0100;189,127;
180810;0200;188,496;
180810;0300;166,335;
180810;0400;174,656;
180810;0500;156,397;
180810;0600;150,543;
180810;0700;72,4146;
180810;0800;222,125;
180810;0900;149,287;
180810;1000;199,742;
180810;1100;262,178;
180810;1200;308,91;
180810;1300;311,8;
180810;1400;312,019;
180810;1500;309,543;
180810;1600;256,275;
180810;1700;39,0231;
180810;1800;349,72;
180810;1900;61,743;
180810;2000;47,5783;
180810;2100;37,1119;
180810;2200;35,0123;
