FECHA (YYMMDD);HORA (HHMM);;
180730;0100;56,1302;
180730;0200;61,8515;
180730;0300;68,3057;
180730;0400;67,1393;
180730;0500;80,4709;
180730;0600;90,108;
180730;0700;74,78;
180730;0800;96,8246;
180730;0900;108,191;
180730;1000;264,457;
180730;1100;243,173;
180730;1200;252,609;
180730;1300;256,518;
180730;1400;249,633;
180730;1500;255,479;
180730;1600;248,26;
180730;1700;245,876;
180730;1800;8,13316;
180730;1900;294,251;
180730;2000;36,3425;
180730;2100;35,7299;
180730;2200;59,0257;
180730;2300;103,566;
180731;0000;66,6713;
180731;0100;78,4323;
180731;0200;81,9135;
180731;0300;60,7924;
180731;0400;65,2329;
180731;0500;50,63;
180731;0600;76,1886;
180731;0700;91,356;
180731;0800;96,5752;
180731;0900;88,6774;
180731;1000;218,627;
180731;1100;255,103;
180731;1200;250,624;
180731;1300;252,416;
180731;1400;253,003;
180731;1500;248,7;
180731;1600;244,512;
180731;1700;237,306;
180731;1800;211,971;
180731;1900;30,3391;
180731;2000;39,2154;
180731;2100;70,5704;
180731;2200;106,383;
180731;2300;109,772;
180801;0000;79,7078;
180801;0100;64,752;
180801;0200;44,9471;
180801;0300;74,6071;
180801;0400;82,2719;
180801;0500;78,2302;
180801;0600;69,9467;
180801;0700;75,3953;
180801;0800;76,6458;
180801;0900;67,6667;
180801;1000;63,988;
180801;1100;252,359;
180801;1200;260,473;
180801;1300;254,58;
180801;1400;251,072;
180801;1500;266,144;
180801;1600;248,22;
180801;1700;284,648;
180801;1800;283,982;
180801;1900;292,118;
180801;2000;29,1075;
180801;2100;60,9333;
180801;2200;31,9877;
180801;2300;28,1167;
180802;0000;44,8193;
180802;0100;324,136;
180802;0200;44,8327;
180802;0300;51,8943;
180802;0400;63,7001;
180802;0500;70,4749;
180802;0600;59,9776;
180802;0700;63,9926;
180802;0800;59,7105;
180802;0900;84,0515;
180802;1000;56,3584;
180802;1100;54,9435;
180802;1200;283,128;
180802;1300;270,277;
180802;1400;275,545;
180802;1500;296,34;
180802;1600;299,838;
180802;1700;317,208;
180802;1800;12,9595;
180802;1900;98,1842;
180802;2000;79,8236;
180802;2100;93,7391;
180802;2200;83,0918;
180802;2300;94,8245;
180803;0000;88,6707;
180803;0100;85,6234;
180803;0200;79,2307;
180803;0300;99,8472;
180803;0400;99,1257;
180803;0500;93,4171;
180803;0600;83,8771;
180803;0700;64,7009;
180803;0800;229,332;
180803;0900;109,943;
180803;1000;263,614;
180803;1100;244,335;
180803;1200;261,07;
180803;1300;251,311;
180803;1400;247,857;
180803;1500;232,731;
180803;1600;220,824;
180803;1700;211,597;
180803;1800;212,206;
180803;1900;191,896;
180803;2000;345,716;
180803;2100;10,4812;
180803;2200;86,4163;
180803;2300;70,1565;
180804;0000;352,053;
180804;0100;295,982;
180804;0200;97,132;
180804;0300;85,8228;
180804;0400;37,7034;
180804;0500;36,8618;
180804;0600;39,8033;
180804;0700;72,0634;
180804;0800;77,8383;
180804;0900;64,9396;
180804;1000;25,4471;
180804;1100;256,194;
180804;1200;252,362;
180804;1300;253,688;
180804;1400;236,615;
180804;1500;224,361;
180804;1600;239,205;
180804;1700;221,466;
180804;1800;260,035;
180804;1900;221,057;
180804;2000;66,9825;
180804;2100;50,7017;
180804;2200;47,7709;
180804;2300;273,564;
180805;0000;75,1162;
180805;0100;98,9368;
180805;0200;68,3519;
180805;0300;140,817;
180805;0400;49,7676;
180805;0500;38,6616;
180805;0600;27,1647;
180805;0700;308,656;
180805;0800;56,6266;
180805;0900;61,3485;
180805;1000;69,9124;
180805;1100;245,109;
180805;1200;240,287;
180805;1300;256,028;
180805;1400;255,951;
180805;1500;259,241;
180805;1600;247,24;
180805;1700;270,522;
180805;1800;40,1037;
180805;1900;62,891;
180805;2000;25,3404;
180805;2100;47,2813;
180805;2200;52,7931;
180805;2300;78,2438;
180806;0000;112,146;
180806;0100;94,3135;
180806;0200;74,4889;
180806;0300;236,644;
180806;0400;87,4875;
180806;0500;90,9448;
180806;0600;118,418;
180806;0700;62,3089;
180806;0800;52,0297;
180806;0900;299,417;
180806;1000;240,324;
180806;1100;54,4335;
180806;1200;262,41;
180806;1300;244;
180806;1400;245,043;
180806;1500;255,987;
180806;1600;248,849;
180806;1700;266,22;
180806;1800;285,271;
180806;1900;59,1529;
180806;2000;63,1716;
180806;2100;35,5495;
180806;2200;48,5185;
180806;2300;48,071;
180807;0000;18,77;
180807;0100;48,0808;
180807;0200;248,887;
180807;0300;213,897;
180807;0400;202,947;
180807;0500;184,859;
180807;0600;170,975;
180807;0700;148,297;
180807;0800;168,538;
180807;0900;169,998;
180807;1000;240,631;
180807;1100;230,872;
180807;1200;;
180807;1300;;
180807;1400;;
180807;1500;;
180807;1600;;
180807;1700;;
180807;1800;;
180807;1900;;
180807;2000;;
180807;2100;;
180807;2200;;
180807;2300;;
180808;0000;;
180808;0100;;
180808;0200;;
180808;0300;;
180808;0400;;
180808;0500;;
180808;0600;;
180808;0700;;
180808;0800;;
180808;0900;;
180808;1000;;
180808;1100;;
180808;1200;;
180808;1300;;
180808;1400;;
180808;1500;;
180808;1600;;
180808;1700;;
180808;1800;;
180808;1900;;
180808;2000;23,4379;
180808;2100;35,1411;
180808;2200;61,2532;
180808;2300;50,3423;
180809;0000;67,9011;
180809;0100;65,9607;
180809;0200;10,6768;
180809;0300;68,7083;
180809;0400;217,454;
180809;0500;69,184;
180809;0600;78,0493;
180809;0700;64,4214;
180809;0800;69,9203;
180809;0900;35,1803;
180809;1000;242,899;
180809;1100;340,425;
180809;1200;260,144;
180809;1300;254,698;
180809;1400;251,834;
180809;1500;255,875;
180809;1600;65,051;
180809;1700;304,637;
180809;1800;138,131;
180809;1900;45,0915;
180809;2000;40,0475;
180809;2100;40,2614;
180809;2200;53,0905;
180809;2300;218,04;
180810;0000;191,327;
180810;0100;198,367;
180810;0200;179,309;
180810;0300;212,165;
180810;0400;210,12;
180810;0500;199,369;
180810;0600;159,844;
180810;0700;49,8175;
180810;0800;250,809;
180810;0900;149,257;
180810;1000;233,425;
180810;1100;260,915;
180810;1200;265,949;
180810;1300;131,5;
180810;1400;76,2061;
180810;1500;18,5514;
180810;1600;273,219;
180810;1700;298,365;
180810;1800;27,4371;
180810;1900;36,5727;
180810;2000;55,0965;
180810;2100;113,068;
180810;2200;47,9359;
180810;2300;61,0017;
180811;0000;100,986;
180811;0100;94,6779;
180811;0200;97,9653;
180811;0300;200,463;
180811;0400;103,853;
180811;0500;68,5557;
180811;0600;228,88;
180811;0700;65,5399;
180811;0800;68,1418;
180811;0900;55,4553;
180811;1000;191,62;
180811;1100;279,74;
180811;1200;275,084;
180811;1300;273,781;
180811;1400;270,482;
180811;1500;244,79;
180811;1600;245,575;
180811;1700;258,997;
180811;1800;304,111;
180811;1900;53,0565;
180811;2000;47,3077;
180811;2100;42,5255;
180811;2200;332,781;
180811;2300;44,5859;
180812;0000;64,2922;
180812;0100;340,579;
180812;0200;99,4518;
180812;0300;82,7979;
180812;0400;81,0892;
180812;0500;96,3052;
180812;0600;88,2985;
180812;0700;98,506;
180812;0800;107,97;
180812;0900;114,663;
180812;1000;187,766;
