FECHA (YYMMDD);HORA (HHMM);;
180730;0100;75,5406;
180730;0200;55,433;
180730;0300;81,332;
180730;0400;62,4873;
180730;0500;80,3866;
180730;0600;63,9394;
180730;0700;100,244;
180730;0800;107,926;
180730;0900;154,073;
180730;1000;252,641;
180730;1100;276,329;
180730;1200;280,662;
180730;1300;278,36;
180730;1400;257,414;
180730;1500;280,399;
180730;1600;256,264;
180730;1700;237,257;
180730;1800;29,0877;
180730;1900;262,102;
180730;2000;76,3837;
180730;2100;60,7289;
180730;2200;48,3015;
180730;2300;103,666;
180731;0000;66,0723;
180731;0100;74,6382;
180731;0200;75,2146;
180731;0300;109,076;
180731;0400;101,879;
180731;0500;121,832;
180731;0600;64,1104;
180731;0700;33,6182;
180731;0800;79,7729;
180731;0900;76,5181;
180731;1000;110,997;
180731;1100;283,037;
180731;1200;280,683;
180731;1300;281,439;
180731;1400;269,963;
180731;1500;261,349;
180731;1600;275,461;
180731;1700;231,909;
180731;1800;210,514;
180731;1900;31,2508;
180731;2000;66,3732;
180731;2100;29,1249;
180731;2200;95,5344;
180731;2300;49,7991;
180801;0000;96,3877;
180801;0100;86,9166;
180801;0200;71,4999;
180801;0300;57,7582;
180801;0400;99,1093;
180801;0500;106,242;
180801;0600;27,0679;
180801;0700;94,2286;
180801;0800;133,003;
180801;0900;105,989;
180801;1000;72,5977;
180801;1100;297,771;
180801;1200;270,936;
180801;1300;260,888;
180801;1400;272,166;
180801;1500;283,85;
180801;1600;272,044;
180801;1700;268,648;
180801;1800;291,743;
180801;1900;287,817;
180801;2000;2,95977;
180801;2100;43,8211;
180801;2200;85,3311;
180801;2300;31,6005;
180802;0000;21,0131;
180802;0100;9,18781;
180802;0200;45,5145;
180802;0300;40,2438;
180802;0400;56,2413;
180802;0500;69,3762;
180802;0600;56,1243;
180802;0700;74,6105;
180802;0800;57,2916;
180802;0900;85,5726;
180802;1000;63,2998;
180802;1100;328,541;
180802;1200;298,634;
180802;1300;280,592;
180802;1400;278,999;
180802;1500;300,553;
180802;1600;286,657;
180802;1700;296,442;
180802;1800;22,1728;
180802;1900;22,644;
180802;2000;74,7219;
180802;2100;15,7511;
180802;2200;64,2325;
180802;2300;76,911;
180803;0000;71,9752;
180803;0100;43,7372;
180803;0200;9,23827;
180803;0300;90,6057;
180803;0400;48,6702;
180803;0500;91,8787;
180803;0600;103,4;
180803;0700;133,549;
180803;0800;46,6655;
180803;0900;145,296;
180803;1000;235,891;
180803;1100;285,723;
180803;1200;282,754;
180803;1300;246,43;
180803;1400;231,465;
180803;1500;231,533;
180803;1600;229,435;
180803;1700;222,479;
180803;1800;166,254;
180803;1900;57,973;
180803;2000;69,8689;
180803;2100;89,0991;
180803;2200;84,8281;
180803;2300;90,6515;
180804;0000;58,1002;
180804;0100;83,8568;
180804;0200;56,5391;
180804;0300;70,1172;
180804;0400;107,914;
180804;0500;65,564;
180804;0600;56,2754;
180804;0700;100,29;
180804;0800;125,806;
180804;0900;120,125;
180804;1000;295,681;
180804;1100;267,924;
180804;1200;272,792;
180804;1300;277,675;
180804;1400;228,101;
180804;1500;220,984;
180804;1600;237,955;
180804;1700;219,841;
180804;1800;261,94;
180804;1900;195,359;
180804;2000;92,5424;
180804;2100;74,5571;
180804;2200;36,6599;
180804;2300;12,7669;
180805;0000;50,4168;
180805;0100;58,8504;
180805;0200;47,9904;
180805;0300;72,9926;
180805;0400;96,9235;
180805;0500;102,066;
180805;0600;32,1369;
180805;0700;64,7566;
180805;0800;6,84043;
180805;0900;99,3469;
180805;1000;49,7362;
180805;1100;263,406;
180805;1200;257,499;
180805;1300;267,362;
180805;1400;276,739;
180805;1500;273,454;
180805;1600;263,157;
180805;1700;287,166;
180805;1800;47,1945;
180805;1900;51,2904;
180805;2000;74,5457;
180805;2100;99,7369;
180805;2200;98,2739;
180805;2300;81,6488;
180806;0000;99,4746;
180806;0100;56,6124;
180806;0200;55,316;
180806;0300;232,663;
180806;0400;62,3491;
180806;0500;94,2059;
180806;0600;19,7096;
180806;0700;88,584;
180806;0800;92,158;
180806;0900;189,024;
180806;1000;30,4123;
180806;1100;41,489;
180806;1200;274,012;
180806;1300;274,856;
180806;1400;275,649;
180806;1500;272,031;
180806;1600;258,443;
180806;1700;264,8;
180806;1800;290,323;
180806;1900;55,3632;
180806;2000;71,6064;
180806;2100;58,9939;
180806;2200;97,9337;
180806;2300;79,9607;
180807;0000;96,2585;
180807;0100;77,4299;
180807;0200;254,44;
180807;0300;223,557;
180807;0400;207,985;
180807;0500;172,916;
180807;0600;166,267;
180807;0700;56,9458;
180807;0800;22,2246;
180807;0900;177,847;
180807;1000;222,182;
180807;1100;217,624;
180807;1200;225,906;
180807;1300;225,7;
180807;1400;220,696;
180807;1500;226,604;
180807;1600;211,917;
180807;1700;217,298;
180807;1800;198,043;
180807;1900;209,086;
180807;2000;146,006;
180807;2100;235,382;
180807;2200;81,8131;
180807;2300;82,8369;
180808;0000;52,6964;
180808;0100;86,8405;
180808;0200;39,1477;
180808;0300;47,693;
180808;0400;58,2388;
180808;0500;54,4744;
180808;0600;52,7884;
180808;0700;108,203;
180808;0800;56,4267;
180808;0900;119,077;
180808;1000;265,622;
180808;1100;275,017;
180808;1200;241,551;
180808;1300;73,2365;
180808;1400;273,315;
180808;1500;261,773;
180808;1600;267,39;
180808;1700;276,093;
180808;1800;2,33074;
180808;1900;29,6487;
180808;2000;39,0479;
180808;2100;105,288;
180808;2200;101,955;
180808;2300;104,055;
180809;0000;45,4211;
180809;0100;56,8793;
180809;0200;42,3615;
180809;0300;80,1772;
180809;0400;54,0564;
180809;0500;5,08338;
180809;0600;57,1055;
180809;0700;44,7047;
180809;0800;75,0927;
180809;0900;267,745;
180809;1000;266,504;
180809;1100;289,976;
180809;1200;278,431;
180809;1300;274,115;
180809;1400;270,51;
180809;1500;274,97;
180809;1600;310,139;
180809;1700;304,408;
180809;1800;248,423;
180809;1900;359,882;
180809;2000;41,8031;
180809;2100;358,667;
180809;2200;50,952;
180809;2300;123,573;
180810;0000;163,074;
180810;0100;165,173;
180810;0200;150,451;
180810;0300;156,252;
180810;0400;189,83;
180810;0500;160,983;
180810;0600;143,655;
180810;0700;49,4642;
180810;0800;246,777;
180810;0900;117,462;
180810;1000;208,019;
180810;1100;291,864;
180810;1200;268,853;
180810;1300;291,077;
180810;1400;20,4157;
180810;1500;23,87;
180810;1600;23,8997;
180810;1700;17,2828;
180810;1800;41,4469;
180810;1900;51,1119;
180810;2000;55,1124;
180810;2100;69,1559;
180810;2200;87,2255;
180810;2300;112,571;
180811;0000;145,783;
180811;0100;43,5971;
180811;0200;75,6226;
180811;0300;26,7391;
180811;0400;30,3136;
180811;0500;251,817;
180811;0600;72,012;
180811;0700;70,5344;
180811;0800;75,4109;
180811;0900;56,5975;
180811;1000;21,9372;
180811;1100;282,112;
180811;1200;273,594;
180811;1300;269,875;
180811;1400;269,391;
180811;1500;264,867;
180811;1600;254,95;
180811;1700;283,337;
180811;1800;296,456;
180811;1900;49,4025;
180811;2000;45,0714;
180811;2100;50,6984;
180811;2200;60,6162;
180811;2300;80,0406;
180812;0000;69,551;
180812;0100;119,085;
180812;0200;89,2441;
180812;0300;74,6061;
180812;0400;77,7953;
180812;0500;98,3044;
180812;0600;92,1804;
180812;0700;99,6212;
180812;0800;73,0061;
180812;0900;117,651;
180812;1000;171,121;
180812;1100;199,607;
180812;1200;274,417;
180812;1300;281,434;
180812;1400;284,284;
180812;1500;285,03;
180812;1600;274,627;
180812;1700;282,11;
180812;1800;262,975;
180812;1900;223,212;
180812;2000;203,266;
180812;2100;197,54;
180812;2200;169,055;
180812;2300;87,9774;
180813;0000;65,6869;
180813;0100;12,4256;
180813;0200;58,6747;
180813;0300;68,6921;
180813;0400;21,7819;
180813;0500;65,9478;
180813;0600;17,3357;
180813;0700;125,807;
180813;0800;133,282;
180813;0900;147,796;
180813;1000;282,795;
180813;1100;258,188;
180813;1200;226,479;
180813;1300;229,295;
180813;1400;225,769;
180813;1500;223,928;
180813;1600;221,535;
180813;1700;216,988;
180813;1800;193,177;
180813;1900;186,02;
180813;2000;219,664;
180813;2100;179,437;
180813;2200;28,0792;
180813;2300;89,5896;
180814;0000;27,9509;
180814;0100;89,4749;
180814;0200;67,4554;
180814;0300;71,2761;
180814;0400;158,341;
180814;0500;204,481;
180814;0600;120,936;
180814;0700;128,058;
180814;0800;151,021;
180814;0900;24,4368;
180814;1000;255,151;
180814;1100;288,975;
180814;1200;233,087;
180814;1300;273,791;
