FECHA (YYMMDD);HORA (HHMM);;
180730;0100;139,954;
180730;0200;130,006;
180730;0300;184,008;
180730;0400;108,63;
180730;0500;222,149;
180730;0600;187,332;
180730;0700;121,89;
180730;0800;316,319;
180730;0900;27,0514;
180730;1000;135,184;
180730;1100;287,742;
180730;1200;283,197;
180730;1300;279,335;
180730;1400;281,756;
180730;1500;286,229;
180730;1600;288,513;
180730;1700;276,833;
180730;1800;81,3749;
180730;1900;61,0878;
180730;2000;91,0709;
180730;2100;85,2164;
180730;2200;122,33;
180730;2300;190,911;
180731;0000;116,136;
180731;0100;49,6422;
180731;0200;109,157;
180731;0300;82,361;
180731;0400;123,907;
180731;0500;92,9177;
180731;0600;119,44;
180731;0700;106,662;
180731;0800;113,071;
180731;0900;95,6791;
180731;1000;83,2744;
180731;1100;93,0343;
180731;1200;222,242;
180731;1300;274,238;
180731;1400;270,469;
180731;1500;276,033;
180731;1600;269,371;
180731;1700;252,599;
180731;1800;157,537;
180731;1900;88,1655;
180731;2000;90,7661;
180731;2100;102,42;
180731;2200;201,878;
180731;2300;75,5312;
180801;0000;149,473;
180801;0100;86,8324;
180801;0200;212,642;
180801;0300;150,29;
180801;0400;219,819;
180801;0500;148,721;
180801;0600;103,216;
180801;0700;105,505;
180801;0800;84,5485;
180801;0900;76,6572;
180801;1000;69,9707;
180801;1100;78,0356;
180801;1200;300,009;
180801;1300;270,148;
180801;1400;277,936;
180801;1500;283,157;
180801;1600;286,138;
180801;1700;270,129;
180801;1800;249,846;
180801;1900;242,8;
180801;2000;118,457;
180801;2100;161,168;
180801;2200;116,277;
180801;2300;63,0784;
180802;0000;78,911;
180802;0100;70,9207;
180802;0200;52,6766;
180802;0300;53,6832;
180802;0400;65,7354;
180802;0500;87,6302;
180802;0600;77,5079;
180802;0700;111,395;
180802;0800;82,6006;
180802;0900;91,179;
180802;1000;73,3198;
180802;1100;51,4263;
180802;1200;289,441;
180802;1300;278,54;
180802;1400;283,228;
180802;1500;294,051;
180802;1600;283,25;
180802;1700;59,9055;
180802;1800;92,411;
180802;1900;136,079;
180802;2000;116,819;
180802;2100;123,189;
180802;2200;111,032;
180802;2300;127,386;
180803;0000;136,515;
180803;0100;114,48;
180803;0200;105,127;
180803;0300;198,423;
180803;0400;143,973;
180803;0500;111,102;
180803;0600;143,653;
180803;0700;192,858;
180803;0800;88,7733;
180803;0900;67,4525;
180803;1000;286,815;
180803;1100;272,511;
180803;1200;271,531;
180803;1300;256,378;
180803;1400;225,74;
180803;1500;223,167;
180803;1600;214,285;
180803;1700;210,148;
180803;1800;199,543;
180803;1900;92,8193;
180803;2000;96,1119;
180803;2100;117,078;
180803;2200;120,975;
180803;2300;99,733;
180804;0000;121,555;
180804;0100;104,785;
180804;0200;101,63;
180804;0300;135,767;
180804;0400;110,822;
180804;0500;100,324;
180804;0600;129,754;
180804;0700;245,249;
180804;0800;115,745;
180804;0900;29,6558;
180804;1000;324,536;
180804;1100;260,3;
180804;1200;262,286;
180804;1300;292,777;
180804;1400;251,313;
180804;1500;214,704;
180804;1600;222,56;
180804;1700;213,654;
180804;1800;93,2244;
180804;1900;139,807;
180804;2000;89,8757;
180804;2100;109,937;
180804;2200;116,394;
180804;2300;180,612;
180805;0000;106,676;
180805;0100;105,682;
180805;0200;196,019;
180805;0300;85,3583;
180805;0400;120,167;
180805;0500;103,857;
180805;0600;118,69;
180805;0700;113,483;
180805;0800;98,6904;
180805;0900;103,753;
180805;1000;80,5782;
180805;1100;247,853;
180805;1200;264,896;
180805;1300;276,556;
180805;1400;270,45;
180805;1500;280,563;
180805;1600;77,297;
180805;1700;288,828;
180805;1800;70,0603;
180805;1900;100,985;
180805;2000;80,5876;
180805;2100;88,3855;
180805;2200;98,9813;
180805;2300;123,709;
180806;0000;206,673;
180806;0100;96,8761;
180806;0200;88,946;
180806;0300;184,829;
180806;0400;112,943;
180806;0500;131,827;
180806;0600;166,416;
180806;0700;99,8898;
180806;0800;84,4208;
180806;0900;277,387;
180806;1000;94,8961;
180806;1100;349,078;
180806;1200;278,596;
180806;1300;265,988;
180806;1400;286,254;
180806;1500;276,413;
180806;1600;242,949;
180806;1700;271,87;
180806;1800;278,06;
180806;1900;82,6138;
180806;2000;82,275;
180806;2100;86,6027;
180806;2200;94,7961;
180806;2300;101,634;
180807;0000;108,097;
180807;0100;90,7573;
180807;0200;215,396;
180807;0300;221,503;
180807;0400;219,174;
180807;0500;208,317;
180807;0600;207,229;
180807;0700;144,644;
180807;0800;316,585;
180807;0900;194,394;
180807;1000;34,1529;
180807;1100;221,902;
180807;1200;217,887;
180807;1300;217,318;
180807;1400;225,923;
180807;1500;219,301;
180807;1600;214,692;
180807;1700;217,029;
180807;1800;203,32;
180807;1900;213,547;
180807;2000;201,968;
180807;2100;82,9861;
180807;2200;111,48;
180807;2300;109,572;
180808;0000;149,002;
180808;0100;122,197;
180808;0200;108,084;
180808;0300;182,164;
180808;0400;113,16;
180808;0500;208,338;
180808;0600;115,61;
180808;0700;101,547;
180808;0800;149,647;
180808;0900;76,8378;
180808;1000;278,192;
180808;1100;272,91;
180808;1200;273,097;
180808;1300;69,8511;
180808;1400;258,251;
180808;1500;230,83;
180808;1600;261,076;
180808;1700;297,59;
180808;1800;202,933;
180808;1900;137,346;
180808;2000;62,1119;
180808;2100;83,5968;
180808;2200;127,871;
180808;2300;108,959;
180809;0000;95,0723;
180809;0100;109,414;
180809;0200;152,033;
180809;0300;127,753;
180809;0400;201,125;
180809;0500;121,048;
180809;0600;102,913;
180809;0700;143,878;
