FECHA (YYMMDD);HORA (HHMM);;
180730;0100;1,36297;
180730;0200;1,62667;
180730;0300;2,10169;
180730;0400;1,35245;
180730;0500;0,371429;
180730;0600;1,20616;
180730;0700;0,411452;
180730;0800;0,467331;
180730;0900;0,785194;
180730;1000;0,750349;
180730;1100;1,98214;
180730;1200;2,25357;
180730;1300;4,12645;
180730;1400;3,91991;
180730;1500;2,92041;
180730;1600;3,61756;
180730;1700;3,71166;
180730;1800;1,86995;
180730;1900;2,73525;
180730;2000;1,42669;
180730;2100;1,27327;
180730;2200;1,2713;
180730;2300;1,00465;
180731;0000;1,05509;
180731;0100;1,90701;
180731;0200;1,85479;
180731;0300;1,5857;
180731;0400;1,31105;
180731;0500;1,50221;
180731;0600;1,48957;
180731;0700;1,26487;
180731;0800;1,19289;
180731;0900;1,40068;
180731;1000;0,680776;
180731;1100;2,02638;
180731;1200;1,86812;
180731;1300;2,17205;
180731;1400;2,73515;
180731;1500;3,59786;
180731;1600;3,41931;
180731;1700;3,81095;
180731;1800;2,45101;
180731;1900;0,220513;
180731;2000;1,91693;
180731;2100;1,87193;
180731;2200;1,23891;
180731;2300;0,805091;
180801;0000;1,20102;
180801;0100;1,15157;
180801;0200;1,87127;
180801;0300;1,56467;
180801;0400;1,83945;
180801;0500;2,05734;
180801;0600;1,85992;
180801;0700;1,60545;
180801;0800;1,79739;
180801;0900;1,43011;
180801;1000;1,6654;
180801;1100;0,666836;
180801;1200;1,23406;
180801;1300;1,40206;
180801;1400;1,28971;
180801;1500;1,81398;
180801;1600;1,55206;
180801;1700;1,64671;
180801;1800;1,16425;
180801;1900;0,891399;
180801;2000;1,18164;
180801;2100;1,11541;
180801;2200;0,757082;
180801;2300;1,41428;
180802;0000;1,62414;
180802;0100;1,68185;
180802;0200;1,04652;
180802;0300;0,363606;
180802;0400;1,31322;
180802;0500;0,900806;
180802;0600;0,770036;
180802;0700;1,09608;
180802;0800;0,588547;
180802;0900;1,23528;
180802;1000;0,984233;
180802;1100;0,90368;
180802;1200;1,97211;
180802;1300;2,06246;
180802;1400;1,48944;
180802;1500;1,19338;
180802;1600;0,825797;
180802;1700;0,897918;
180802;1800;0,996432;
180802;1900;0,389064;
180802;2000;1,50905;
180802;2100;1,1358;
180802;2200;1,26473;
180802;2300;1,68914;
180803;0000;1,84385;
180803;0100;2,069;
180803;0200;2,0446;
180803;0300;0,752267;
180803;0400;1,23477;
180803;0500;1,71705;
180803;0600;1,90296;
180803;0700;0,649358;
180803;0800;1,6616;
180803;0900;2,22614;
180803;1000;2,82549;
180803;1100;3,79419;
180803;1200;2,6938;
180803;1300;4,92579;
180803;1400;5,61374;
180803;1500;5,79435;
180803;1600;6,54904;
180803;1700;6,83904;
180803;1800;5,50296;
180803;1900;3,68283;
180803;2000;2,74748;
180803;2100;1,6855;
180803;2200;2,19204;
180803;2300;2,18811;
180804;0000;2,45369;
180804;0100;2,17635;
180804;0200;2,0775;
180804;0300;1,37835;
180804;0400;2,19474;
180804;0500;1,36016;
180804;0600;1,10163;
180804;0700;0,318131;
180804;0800;1,70623;
180804;0900;1,73988;
180804;1000;1,18694;
180804;1100;1,7617;
180804;1200;2,7916;
180804;1300;4,33606;
180804;1400;5,31236;
180804;1500;4,86289;
180804;1600;4,55617;
180804;1700;3,93994;
180804;1800;3,05165;
180804;1900;4,25312;
180804;2000;1,23929;
180804;2100;1,56194;
180804;2200;1,40016;
180804;2300;0,888577;
180805;0000;0,920744;
180805;0100;0,17579;
180805;0200;1,21249;
180805;0300;1,16508;
180805;0400;1,70103;
180805;0500;0,712764;
180805;0600;1,10309;
180805;0700;1,14013;
180805;0800;1,39104;
180805;0900;1,61409;
180805;1000;1,4515;
180805;1100;1,98533;
180805;1200;2,53501;
180805;1300;2,5275;
180805;1400;1,90074;
180805;1500;2,9055;
180805;1600;2,25877;
180805;1700;1,6655;
180805;1800;2,44423;
180805;1900;2,00276;
180805;2000;1,39577;
180805;2100;2,05546;
180805;2200;1,97669;
180805;2300;0,598205;
180806;0000;0,259934;
180806;0100;0,302016;
180806;0200;1,4962;
180806;0300;1,15121;
180806;0400;0,558216;
180806;0500;1,58865;
180806;0600;0,874812;
180806;0700;0,29615;
180806;0800;1,15265;
180806;0900;0,513344;
180806;1000;0,811686;
180806;1100;0,936066;
180806;1200;1,88841;
180806;1300;1,66288;
180806;1400;1,56717;
180806;1500;2,25019;
180806;1600;2,72538;
180806;1700;0,988974;
180806;1800;0,122201;
180806;1900;0,801479;
180806;2000;2,48823;
180806;2100;2,46693;
180806;2200;1,60086;
180806;2300;1,27087;
180807;0000;0,568293;
180807;0100;1,56938;
180807;0200;2,23711;
180807;0300;4,84637;
180807;0400;5,28027;
180807;0500;4,25309;
180807;0600;3,14341;
180807;0700;2,58115;
180807;0800;2,87395;
180807;0900;2,6589;
180807;1000;3,01341;
180807;1100;3,87507;
180807;1200;4,07521;
180807;1300;4,23451;
180807;1400;4,26546;
180807;1500;4,69091;
180807;1600;4,84764;
180807;1700;5,10278;
180807;1800;5,31623;
180807;1900;5,93018;
180807;2000;5,457;
180807;2100;3,7797;
180807;2200;4,33006;
180807;2300;3,25196;
180808;0000;3,16428;
180808;0100;2,3124;
180808;0200;2,89222;
180808;0300;4,57316;
180808;0400;4,70949;
180808;0500;4,98261;
180808;0600;3,89722;
180808;0700;3,39944;
180808;0800;2,01257;
180808;0900;1,33156;
180808;1000;1,97927;
180808;1100;2,77379;
180808;1200;1,09994;
180808;1300;0,0921518;
180808;1400;3,11114;
180808;1500;2,75843;
180808;1600;3,41831;
180808;1700;2,72803;
180808;1800;0,99399;
180808;1900;2,064;
180808;2000;2,24534;
180808;2100;1,54071;
180808;2200;3,41131;
180808;2300;2,40942;
180809;0000;2,68289;
180809;0100;1,55476;
180809;0200;0,999201;
180809;0300;1,00778;
180809;0400;1,57863;
180809;0500;0,234249;
180809;0600;0,958236;
180809;0700;1,67827;
180809;0800;3,18165;
180809;0900;1,06235;
180809;1000;2,36354;
180809;1100;1,30153;
180809;1200;1,10059;
180809;1300;1,41967;
180809;1400;1,73119;
180809;1500;0,156861;
180809;1600;0,702351;
180809;1700;2,15608;
180809;1800;0,635975;
180809;1900;0,27496;
180809;2000;0,676814;
180809;2100;0,483565;
180809;2200;0,0841939;
180809;2300;0,54552;
180810;0000;1,41831;
180810;0100;1,53956;
180810;0200;1,62673;
180810;0300;1,96826;
180810;0400;2,19964;
180810;0500;1,26632;
180810;0600;1,37531;
180810;0700;1,00888;
180810;0800;1,23023;
180810;0900;1,3522;
180810;1000;1,64685;
180810;1100;1,49269;
180810;1200;1,38411;
180810;1300;1,47152;
180810;1400;1,77516;
180810;1500;1,30385;
180810;1600;1,51801;
180810;1700;1,60127;
180810;1800;0,305961;
180810;1900;2,92867;
180810;2000;3,6803;
180810;2100;2,85915;
180810;2200;3,31715;
180810;2300;1,62886;
180811;0000;1,09742;
180811;0100;1,26424;
180811;0200;0,530369;
180811;0300;1,58989;
180811;0400;0,93093;
180811;0500;0,325498;
180811;0600;1,22803;
180811;0700;0,945664;
180811;0800;1,79807;
180811;0900;1,95769;
180811;1000;0,254283;
180811;1100;1,63697;
180811;1200;1,66496;
180811;1300;2,10408;
180811;1400;1,91967;
