FECHA (YYMMDD);HORA (HHMM);;
180730;0100;1,1066;
180730;0200;0,845835;
180730;0300;0,992665;
180730;0400;0,82415;
180730;0500;0,593231;
180730;0600;0,899174;
180730;0700;0,414274;
180730;0800;0,9329;
180730;0900;0,713814;
180730;1000;0,373798;
180730;1100;1,20886;
180730;1200;3,35045;
180730;1300;4,45674;
180730;1400;4,13205;
180730;1500;3,23247;
180730;1600;4,14218;
180730;1700;4,13928;
180730;1800;2,68744;
180730;1900;2,80393;
180730;2000;0,698446;
180730;2100;0,807972;
180730;2200;0,450953;
180730;2300;0,370955;
180731;0000;0,418176;
180731;0100;0,429015;
180731;0200;0,673;
180731;0300;0,606592;
180731;0400;0,647022;
180731;0500;0,569406;
180731;0600;0,709783;
180731;0700;1,19551;
180731;0800;1,31974;
180731;0900;0,920172;
180731;1000;1,25991;
180731;1100;2,85375;
180731;1200;3,08151;
180731;1300;2,9597;
180731;1400;3,84451;
180731;1500;4,06572;
180731;1600;4,1371;
180731;1700;3,42177;
180731;1800;2,36878;
180731;1900;0,879026;
180731;2000;0,98664;
180731;2100;0,928365;
180731;2200;1,25356;
180731;2300;1,28916;
180801;0000;0,80656;
180801;0100;0,511488;
180801;0200;0,352725;
180801;0300;0,863506;
180801;0400;0,789904;
180801;0500;0,468629;
180801;0600;;
180801;0700;0,507483;
180801;0800;;
180801;0900;0,622875;
180801;1000;1,23021;
180801;1100;0,826331;
180801;1200;1,95355;
180801;1300;1,44506;
180801;1400;1,60338;
180801;1500;2,37731;
180801;1600;1,92738;
180801;1700;2,08699;
180801;1800;1,05457;
180801;1900;1,39116;
180801;2000;1,69831;
180801;2100;1,43221;
180801;2200;1,23682;
180801;2300;1,65547;
180802;0000;1,92347;
180802;0100;1,52325;
180802;0200;1,28434;
180802;0300;0,493617;
180802;0400;1,15311;
180802;0500;0,545497;
180802;0600;0,942935;
180802;0700;0,983041;
180802;0800;0,443185;
180802;0900;1,30947;
180802;1000;1,19886;
180802;1100;0,9356;
180802;1200;2,25917;
180802;1300;2,17118;
180802;1400;1,812;
180802;1500;1,59579;
180802;1600;1,38031;
180802;1700;1,1487;
180802;1800;1,44246;
180802;1900;0,957847;
180802;2000;0,754381;
180802;2100;1,1829;
180802;2200;1,34505;
180802;2300;1,26786;
180803;0000;1,35473;
180803;0100;1,24732;
180803;0200;0,921311;
180803;0300;0,611538;
180803;0400;1,85511;
180803;0500;1,73212;
180803;0600;1,89135;
180803;0700;1,85346;
180803;0800;2,29672;
180803;0900;2,4895;
180803;1000;2,89675;
180803;1100;3,7586;
180803;1200;4,20141;
180803;1300;5,63237;
180803;1400;6,52329;
180803;1500;6,89213;
180803;1600;7,11964;
180803;1700;7,5845;
180803;1800;6,25097;
180803;1900;3,95279;
180803;2000;2,92864;
180803;2100;0,880581;
180803;2200;1,55096;
180803;2300;1,37275;
180804;0000;1,41864;
180804;0100;1,3535;
180804;0200;2,04976;
180804;0300;1,41972;
180804;0400;1,40691;
180804;0500;0,958797;
180804;0600;1,72336;
180804;0700;;
180804;0800;1,56183;
180804;0900;0,854951;
180804;1000;0,618771;
180804;1100;2,21114;
180804;1200;3,27058;
180804;1300;4,3948;
180804;1400;5,27655;
180804;1500;5,18182;
180804;1600;5,00267;
180804;1700;4,11132;
180804;1800;3,50666;
180804;1900;4,23608;
180804;2000;1,27208;
180804;2100;0,723023;
180804;2200;0,311302;
180804;2300;1,00299;
180805;0000;1,1562;
180805;0100;0,791672;
180805;0200;0,213441;
180805;0300;1,04433;
180805;0400;0,794942;
180805;0500;0,339334;
180805;0600;0,107641;
180805;0700;0,195059;
180805;0800;0,244103;
180805;0900;0,307547;
180805;1000;0,604095;
180805;1100;2,2528;
180805;1200;2,51491;
180805;1300;3,02431;
180805;1400;2,23451;
180805;1500;3,44539;
180805;1600;2,3242;
180805;1700;1,93579;
180805;1800;1,81028;
180805;1900;1,26688;
180805;2000;1,3457;
180805;2100;1,18296;
180805;2200;0,968874;
180805;2300;0,145545;
180806;0000;0,857448;
180806;0100;0,544638;
180806;0200;0,494818;
180806;0300;1,10077;
180806;0400;0,832968;
180806;0500;0,408779;
180806;0600;0,549931;
180806;0700;0,257086;
180806;0800;0,279925;
180806;0900;0,628544;
180806;1000;0,244431;
180806;1100;1,21936;
180806;1200;1,88641;
180806;1300;1,60044;
180806;1400;1,54395;
180806;1500;2,73852;
180806;1600;2,84826;
180806;1700;1,23928;
180806;1800;0,453707;
180806;1900;0,607551;
180806;2000;1,6878;
180806;2100;1,58342;
180806;2200;0,487431;
180806;2300;0,432044;
180807;0000;0,708226;
180807;0100;0,460657;
180807;0200;2,20151;
180807;0300;3,60349;
180807;0400;3,45848;
180807;0500;3,20504;
180807;0600;2,01736;
180807;0700;1,73915;
180807;0800;2,39098;
180807;0900;2,59567;
180807;1000;3,31018;
180807;1100;4,11345;
180807;1200;5,06352;
180807;1300;4,71533;
180807;1400;5,11785;
180807;1500;5,52551;
180807;1600;5,02588;
180807;1700;5,37438;
180807;1800;5,54672;
180807;1900;5,46719;
180807;2000;4,47121;
180807;2100;3,40275;
180807;2200;3,39325;
180807;2300;3,36856;
180808;0000;3,12295;
180808;0100;2,95099;
180808;0200;3,50123;
180808;0300;4,50604;
180808;0400;4,08328;
180808;0500;4,10928;
180808;0600;3,58528;
180808;0700;3,89628;
180808;0800;3,45299;
180808;0900;1,53871;
180808;1000;1,55342;
180808;1100;3,71861;
180808;1200;2,08736;
180808;1300;0,808225;
180808;1400;5,33228;
180808;1500;3,18215;
180808;1600;5,42212;
180808;1700;1,42641;
180808;1800;1,17387;
180808;1900;0,225717;
180808;2000;1,18027;
180808;2100;0,440539;
180808;2200;0,403666;
180808;2300;0,686949;
180809;0000;1,09958;
180809;0100;0,619471;
180809;0200;0,418208;
180809;0300;0,113934;
180809;0400;1,82032;
180809;0500;1,07513;
180809;0600;0,66326;
180809;0700;0,249662;
180809;0800;0,92561;
180809;0900;0,979347;
180809;1000;2,81769;
180809;1100;1,1207;
180809;1200;2,14214;
180809;1300;2,08993;
180809;1400;2,19475;
180809;1500;1,33962;
180809;1600;2,37413;
180809;1700;2,37562;
180809;1800;0,825123;
180809;1900;0,721244;
180809;2000;1,06698;
180809;2100;0,678663;
180809;2200;0,346449;
180809;2300;0,490315;
180810;0000;1,42975;
180810;0100;1,28851;
180810;0200;1,48266;
180810;0300;1,92224;
180810;0400;1,65023;
180810;0500;1,30231;
180810;0600;1,1446;
