FECHA (YYMMDD);HORA (HHMM);;
180730;0100;1,33559;
180730;0200;1,76439;
180730;0300;2,16697;
180730;0400;1,27843;
180730;0500;1,71332;
180730;0600;1,4749;
180730;0700;1,67128;
180730;0800;1,13828;
180730;0900;0,553836;
180730;1000;0,577645;
180730;1100;2,42773;
180730;1200;3,05389;
180730;1300;3,31875;
180730;1400;3,39319;
180730;1500;2,37817;
180730;1600;2,68064;
180730;1700;2,69842;
180730;1800;0,765993;
180730;1900;1,65596;
180730;2000;1,55511;
180730;2100;1,79558;
180730;2200;1,99892;
180730;2300;0,851941;
180731;0000;1,61185;
180731;0100;1,47365;
180731;0200;2,02847;
180731;0300;1,84547;
180731;0400;0,984262;
180731;0500;1,08833;
180731;0600;1,48614;
180731;0700;1,74705;
180731;0800;1,62339;
180731;0900;1,57287;
180731;1000;0,742733;
180731;1100;1,99083;
180731;1200;3,20973;
180731;1300;3,14479;
180731;1400;3,71281;
180731;1500;3,62964;
180731;1600;3,34933;
180731;1700;2,95201;
180731;1800;0,936087;
180731;1900;1,37753;
180731;2000;1,86688;
180731;2100;1,8298;
180731;2200;0,690873;
180731;2300;0,520176;
180801;0000;1,94491;
180801;0100;1,74483;
180801;0200;1,48554;
180801;0300;1,725;
180801;0400;2,2358;
180801;0500;2,12651;
180801;0600;2,01561;
180801;0700;1,90182;
180801;0800;1,3443;
180801;0900;1,26085;
180801;1000;1,25984;
180801;1100;0,676667;
180801;1200;2,21733;
180801;1300;2,02276;
180801;1400;1,76356;
180801;1500;0,497288;
180801;1600;1,59599;
180801;1700;1,97429;
180801;1800;0,892135;
180801;1900;0,399488;
180801;2000;0,397246;
180801;2100;0,432991;
180801;2200;0,526425;
180801;2300;0,415707;
180802;0000;0,675835;
180802;0100;0,55244;
180802;0200;1,56729;
180802;0300;2,06914;
180802;0400;1,15268;
180802;0500;1,22366;
180802;0600;1,36759;
180802;0700;1,48202;
180802;0800;0,853252;
180802;0900;0,541868;
180802;1000;0,602623;
180802;1100;1,20222;
180802;1200;0,959122;
180802;1300;2,06616;
180802;1400;1,34173;
180802;1500;1,93043;
180802;1600;0,904849;
180802;1700;0,728514;
180802;1800;0,355698;
180802;1900;0,761507;
180802;2000;1,55414;
180802;2100;1,36018;
180802;2200;2,12959;
180802;2300;2,31326;
180803;0000;2,02352;
180803;0100;1,80396;
180803;0200;1,91657;
180803;0300;0,823112;
180803;0400;1,59301;
180803;0500;2,05119;
180803;0600;1,83905;
180803;0700;1,31723;
180803;0800;0,644391;
180803;0900;0,409851;
180803;1000;0,713833;
180803;1100;1,63958;
180803;1200;3,29676;
180803;1300;3,40021;
180803;1400;3,3926;
180803;1500;3,70851;
180803;1600;3,5078;
180803;1700;2,53194;
180803;1800;2,72086;
180803;1900;0,352067;
180803;2000;1,0624;
180803;2100;1,00799;
180803;2200;1,27743;
180803;2300;1,37626;
180804;0000;0,156638;
180804;0100;0,63872;
180804;0200;1,45954;
180804;0300;0,873102;
180804;0400;0,924959;
180804;0500;1,74777;
180804;0600;0,478888;
180804;0700;1,38146;
180804;0800;1,46003;
180804;0900;0,887933;
180804;1000;0,98763;
180804;1100;2,57243;
180804;1200;3,44667;
180804;1300;3,21335;
180804;1400;4,10797;
180804;1500;3,20206;
180804;1600;2,79505;
180804;1700;1,85432;
180804;1800;0,990211;
180804;1900;2,14183;
180804;2000;0,622341;
180804;2100;1,13934;
180804;2200;1,09094;
180804;2300;0,268335;
180805;0000;1,4578;
180805;0100;0,774167;
180805;0200;2,0866;
180805;0300;0,381278;
180805;0400;1,70464;
180805;0500;1,29405;
180805;0600;1,25103;
180805;0700;0,889758;
180805;0800;1,75796;
180805;0900;1,45363;
180805;1000;1,18422;
180805;1100;2,71727;
180805;1200;1,7585;
180805;1300;2,664;
180805;1400;2,74681;
180805;1500;2,68415;
180805;1600;1,68;
180805;1700;1,95144;
180805;1800;2,23829;
180805;1900;0,533812;
180805;2000;0,831337;
180805;2100;2,10319;
180805;2200;1,28132;
180805;2300;0,657546;
180806;0000;0,636929;
180806;0100;0,332427;
180806;0200;2,0293;
180806;0300;1,0151;
180806;0400;1,99792;
180806;0500;1,1545;
180806;0600;0,558339;
180806;0700;1,35641;
180806;0800;1,5746;
180806;0900;0,927225;
180806;1000;0,160949;
180806;1100;0,999965;
180806;1200;2,25666;
180806;1300;2,43236;
180806;1400;2,12464;
180806;1500;2,41201;
180806;1600;3,21315;
180806;1700;1,37546;
180806;1800;1,06942;
