FECHA (YYMMDD);HORA (HHMM);;
180730;0100;0,206425;
180730;0200;0,325089;
180730;0300;0,205141;
180730;0400;0,191223;
180730;0500;0,139671;
180730;0600;0,265501;
180730;0700;0,20772;
180730;0800;0,189254;
180730;0900;0,22454;
180730;1000;0,148308;
180730;1100;2,77982;
180730;1200;3,2386;
180730;1300;2,90431;
180730;1400;2,19358;
180730;1500;2,36634;
180730;1600;1,73062;
180730;1700;1,97907;
180730;1800;0,754325;
180730;1900;0,701609;
180730;2000;0,528416;
180730;2100;0,503612;
180730;2200;0,549307;
180730;2300;0,45071;
180731;0000;0,427651;
180731;0100;0,278434;
180731;0200;0,321623;
180731;0300;0,266248;
180731;0400;0,0537085;
180731;0500;0,269492;
180731;0600;0,0438753;
180731;0700;0,280782;
180731;0800;0,300086;
180731;0900;0,876482;
180731;1000;0,126044;
180731;1100;1,60712;
180731;1200;2,95256;
180731;1300;2,9424;
180731;1400;2,92822;
180731;1500;2,50768;
180731;1600;2,20442;
180731;1700;1,71323;
180731;1800;0,2638;
180731;1900;0,95594;
180731;2000;0,507453;
180731;2100;0,265741;
180731;2200;0,311051;
180731;2300;0,318169;
180801;0000;0,270619;
180801;0100;0,274989;
180801;0200;0,185897;
180801;0300;0,272992;
180801;0400;0,234712;
180801;0500;0,146148;
180801;0600;0,333022;
180801;0700;0,171298;
180801;0800;0,124908;
180801;0900;0,772943;
180801;1000;1,43684;
180801;1100;0,735772;
180801;1200;2,41083;
180801;1300;2,15845;
180801;1400;2,20153;
180801;1500;1,68351;
180801;1600;2,48916;
180801;1700;2,24579;
180801;1800;1,20498;
180801;1900;0,907477;
180801;2000;0,497538;
180801;2100;0,508092;
180801;2200;0,363086;
180801;2300;0,615902;
180802;0000;0,494357;
180802;0100;0,382526;
180802;0200;1,21737;
180802;0300;1,90585;
180802;0400;1,37413;
180802;0500;1,16687;
180802;0600;1,52954;
180802;0700;1,21446;
180802;0800;0,882821;
180802;0900;0,914439;
180802;1000;0,740609;
180802;1100;0,504443;
180802;1200;1,32514;
180802;1300;2,33906;
180802;1400;1,81422;
180802;1500;1,77365;
180802;1600;1,25489;
180802;1700;0,89867;
180802;1800;0,59773;
180802;1900;0,297026;
180802;2000;1,12437;
180802;2100;0,428218;
180802;2200;0,410684;
180802;2300;1,15756;
180803;0000;0,469394;
180803;0100;0,526106;
180803;0200;0,313703;
180803;0300;0,300254;
180803;0400;0,27606;
180803;0500;0,258787;
180803;0600;0,271236;
180803;0700;0,347671;
180803;0800;0,37946;
180803;0900;0,81252;
180803;1000;0,446786;
180803;1100;1,46556;
180803;1200;3,21694;
180803;1300;3,01475;
180803;1400;3,09074;
180803;1500;3,22024;
180803;1600;2,88327;
180803;1700;1,5339;
180803;1800;1,47327;
180803;1900;0,566344;
180803;2000;0,457033;
180803;2100;0,468903;
180803;2200;0,334881;
180803;2300;0,313183;
180804;0000;0,347325;
180804;0100;0,212126;
180804;0200;0,345645;
180804;0300;0,251287;
180804;0400;0,366797;
180804;0500;0,37853;
180804;0600;0,164803;
180804;0700;0,121709;
180804;0800;0,320909;
180804;0900;0,411842;
180804;1000;0,552908;
180804;1100;2,79556;
180804;1200;2,95849;
180804;1300;2,68336;
180804;1400;3,18676;
180804;1500;2,62172;
180804;1600;2,52836;
180804;1700;1,37723;
180804;1800;0,50556;
180804;1900;0,754757;
180804;2000;0,623412;
180804;2100;0,770688;
180804;2200;0,601015;
180804;2300;0,195168;
180805;0000;0,480241;
180805;0100;0,233945;
180805;0200;0,314061;
180805;0300;0,243913;
180805;0400;0,23509;
180805;0500;0,587226;
180805;0600;0,268232;
180805;0700;0,272257;
180805;0800;0,0814236;
180805;0900;0,37703;
180805;1000;0,533878;
180805;1100;2,11603;
180805;1200;1,76006;
180805;1300;3,27315;
180805;1400;2,63267;
180805;1500;2,50066;
180805;1600;1,40945;
180805;1700;2,01269;
180805;1800;1,43495;
180805;1900;0,470879;
180805;2000;0,683883;
180805;2100;0,909056;
180805;2200;0,714039;
180805;2300;0,330053;
180806;0000;0,188643;
180806;0100;0,585382;
180806;0200;0,616441;
180806;0300;0,312945;
180806;0400;0,648224;
180806;0500;0,314947;
180806;0600;0,277717;
180806;0700;0,250349;
180806;0800;0,735365;
180806;0900;0,103364;
180806;1000;0,251111;
180806;1100;0,89323;
180806;1200;2,74454;
180806;1300;2,57274;
180806;1400;2,27264;
180806;1500;2,79502;
180806;1600;2,80579;
180806;1700;1,01509;
180806;1800;1,27456;
180806;1900;0,982771;
180806;2000;1,41956;
180806;2100;1,04531;
180806;2200;0,957783;
180806;2300;0,502485;
180807;0000;0,615118;
180807;0100;0,941021;
180807;0200;1,133;
180807;0300;2,19005;
180807;0400;2,40459;
180807;0500;2,01466;
180807;0600;1,50206;
180807;0700;0,285394;
180807;0800;0,325498;
180807;0900;1,33457;
180807;1000;1,8915;
180807;1100;3,02812;
180807;1200;3,35882;
180807;1300;3,48658;
180807;1400;3,28108;
180807;1500;3,19138;
180807;1600;2,99138;
180807;1700;2,06582;
180807;1800;1,46965;
180807;1900;2,63099;
180807;2000;1,11111;
180807;2100;0,438614;
180807;2200;0,355933;
180807;2300;0,282501;
180808;0000;0,262665;
180808;0100;0,338515;
180808;0200;0,187955;
180808;0300;0,32633;
180808;0400;0,257145;
180808;0500;0,310242;
180808;0600;0,281338;
180808;0700;0,228079;
180808;0800;0,115951;
180808;0900;1,15404;
180808;1000;1,75198;
180808;1100;1,17235;
180808;1200;0,51417;
180808;1300;0,615263;
180808;1400;3,65846;
180808;1500;2,446;
180808;1600;2,8972;
180808;1700;1,63319;
180808;1800;0,519001;
180808;1900;0,807325;
180808;2000;0,545678;
180808;2100;0,788995;
180808;2200;0,349536;
180808;2300;0,31247;
180809;0000;0,470247;
180809;0100;0,525456;
180809;0200;0,405479;
180809;0300;0,339894;
180809;0400;0,129553;
180809;0500;0,136154;
180809;0600;0,672326;
180809;0700;0,270458;
180809;0800;0,899695;
180809;0900;0,495046;
180809;1000;3,31787;
180809;1100;0,886358;
180809;1200;1,36507;
180809;1300;2,74147;
180809;1400;2,55355;
180809;1500;1,60113;
180809;1600;0,280339;
180809;1700;2,40547;
180809;1800;0,0658283;
180809;1900;0,225111;
180809;2000;0,752572;
180809;2100;0,301915;
180809;2200;0,484904;
180809;2300;0,471813;
180810;0000;1,66535;
180810;0100;1,39522;
180810;0200;1,29498;
180810;0300;1,49474;
180810;0400;1,45096;
180810;0500;1,62342;
180810;0600;1,09283;
180810;0700;1,24411;
180810;0800;0,330246;
180810;0900;0,74755;
180810;1000;0,642569;
180810;1100;0,813406;
180810;1200;2,76046;
180810;1300;1,34836;
180810;1400;0,404938;
180810;1500;0,446332;
180810;1600;0,446427;
180810;1700;0,414853;
180810;1800;1,27972;
180810;1900;1,8158;
180810;2000;1,56721;
180810;2100;0,640526;
180810;2200;1,40502;
180810;2300;0,534629;
180811;0000;0,435429;
180811;0100;0,350083;
180811;0200;0,207523;
180811;0300;0,0500309;
180811;0400;0,178166;
180811;0500;0,167269;
180811;0600;0,447774;
180811;0700;0,98984;
180811;0800;0,908237;
180811;0900;0,548288;
180811;1000;0,511161;
180811;1100;1,57231;
180811;1200;2,56227;
180811;1300;2,83703;
180811;1400;3,32481;
180811;1500;2,52093;
180811;1600;1,85382;
180811;1700;2,21571;
180811;1800;0,91352;
180811;1900;0,945751;
180811;2000;1,35976;
180811;2100;1,23937;
180811;2200;0,30363;
180811;2300;0,949761;
180812;0000;1,41131;
180812;0100;0,241475;
180812;0200;0,731214;
180812;0300;1,20945;
180812;0400;1,54282;
180812;0500;1,81118;
180812;0600;0,749083;
180812;0700;0,403215;
180812;0800;0,464705;
180812;0900;0,50943;
180812;1000;1,29718;
180812;1100;1,22424;
180812;1200;1,02497;
180812;1300;2,00192;
180812;1400;2,37254;
180812;1500;1,41719;
180812;1600;2,11198;
180812;1700;2,63728;
180812;1800;1,68152;
180812;1900;2,19224;
180812;2000;1,51827;
180812;2100;1,34398;
180812;2200;0,77729;
180812;2300;0,327545;
180813;0000;0,719449;
180813;0100;0,460143;
180813;0200;1,05823;
180813;0300;0,804434;
180813;0400;0,549695;
180813;0500;0,691187;
180813;0600;0,482009;
180813;0700;0,228471;
180813;0800;0,448701;
180813;0900;0,555782;
180813;1000;1,85594;
180813;1100;2,99983;
180813;1200;3,89346;
180813;1300;4,28086;
180813;1400;3,95833;
180813;1500;4,04396;
180813;1600;3,45595;
180813;1700;4,04418;
180813;1800;3,07916;
180813;1900;1,07872;
180813;2000;1,15691;
180813;2100;1,92152;
180813;2200;0,249885;
180813;2300;0,544326;
180814;0000;0,688268;
180814;0100;0,285732;
180814;0200;0,0651443;
180814;0300;0,173985;
180814;0400;0,38355;
180814;0500;0,148012;
180814;0600;0,347484;
180814;0700;0,494709;
180814;0800;0,44523;
180814;0900;0,154468;
180814;1000;1,16772;
180814;1100;2,09587;
180814;1200;2,99973;
180814;1300;2,33;
180814;1400;2,76514;
180814;1500;2,92465;
180814;1600;2,41562;
180814;1700;1,64556;
180814;1800;0,468885;
180814;1900;0,886583;
180814;2000;0,609065;
180814;2100;0,747351;
180814;2200;0,229508;
180814;2300;0,345504;
180815;0000;0,278062;
180815;0100;0,318741;
180815;0200;0,0542643;
180815;0300;0,293739;
180815;0400;0,242458;
180815;0500;0,183631;
180815;0600;0,215422;
180815;0700;0,1935;
180815;0800;0,233756;
180815;0900;0,163929;
180815;1000;1,55903;
180815;1100;2,4161;
180815;1200;3,3917;
180815;1300;3,72287;
180815;1400;2,84077;
180815;1500;2,70193;
180815;1600;2,86367;
180815;1700;0,974547;
180815;1800;0,679551;
180815;1900;0,974222;
180815;2000;1,57728;
180815;2100;1,14636;
180815;2200;1,24239;
180815;2300;0,556511;
180816;0000;0,34914;
180816;0100;0,465238;
180816;0200;0,414174;
180816;0300;0,244655;
180816;0400;0,140101;
180816;0500;0,0286364;
180816;0600;0,074192;
180816;0700;0,0922217;
180816;0800;0,709965;
180816;0900;0,949909;
180816;1000;0,971516;
180816;1100;0,760352;
180816;1200;1,83538;
180816;1300;3,23991;
180816;1400;3,25396;
180816;1500;2,87726;
180816;1600;2,18784;
180816;1700;1,75629;
180816;1800;1,72303;
180816;1900;1,36583;
180816;2000;1,33369;
180816;2100;1,44731;
180816;2200;0,665282;
180816;2300;0,612922;
180817;0000;1,08798;
180817;0100;0,892516;
180817;0200;0,919939;
180817;0300;1,32289;
180817;0400;0,383571;
180817;0500;0,699263;
180817;0600;0,314548;
180817;0700;0,477439;
180817;0800;0,703033;
180817;0900;0,784609;
180817;1000;0,913639;
180817;1100;1,4376;
180817;1200;2,53732;
180817;1300;2,62743;
180817;1400;2,12646;
180817;1500;2,18586;
180817;1600;2,43101;
180817;1700;1,43944;
180817;1800;0,796961;
180817;1900;0,790756;
180817;2000;0,681728;
180817;2100;0,139708;
180817;2200;0,588982;
180817;2300;0,844753;
180818;0000;0,849451;
180818;0100;0,119181;
180818;0200;0,340293;
180818;0300;0,207026;
180818;0400;0,866244;
180818;0500;1,33833;
180818;0600;2,53892;
180818;0700;2,67619;
180818;0800;2,46773;
180818;0900;2,41682;
180818;1000;2,90034;
180818;1100;3,88667;
180818;1200;4,16822;
180818;1300;5,39894;
180818;1400;6,94234;
180818;1500;6,26042;
180818;1600;6,2794;
180818;1700;5,11586;
180818;1800;4,07198;
180818;1900;3,33491;
180818;2000;0,848855;
180818;2100;0,924886;
180818;2200;0,803826;
180818;2300;1,74297;
180819;0000;0,91227;
180819;0100;0,39893;
180819;0200;0,630266;
180819;0300;0,137111;
180819;0400;0,320293;
180819;0500;0,0663939;
180819;0600;0,148017;
180819;0700;0,220296;
180819;0800;0,217591;
180819;0900;0,395503;
180819;1000;1,62954;
180819;1100;2,96482;
180819;1200;3,3587;
180819;1300;3,45897;
180819;1400;3,15684;
180819;1500;2,95343;
180819;1600;2,38908;
180819;1700;1,53405;
180819;1800;0,550137;
180819;1900;1,35097;
180819;2000;0,358452;
180819;2100;0,76438;
180819;2200;0,626794;
180819;2300;0,582116;
180820;0000;0,237472;
180820;0100;0,332682;
180820;0200;0,351262;
180820;0300;0,56288;
180820;0400;0,292412;
180820;0500;0,723443;
180820;0600;0,422519;
180820;0700;0,325986;
180820;0800;0,273964;
180820;0900;0,663179;
180820;1000;1,46703;
180820;1100;2,16192;
180820;1200;0,622079;
180820;1300;1,52812;
180820;1400;2,34174;
180820;1500;0,617518;
180820;1600;1,15983;
180820;1700;1,178;
180820;1800;0,88741;
180820;1900;0,910949;
180820;2000;0,184299;
180820;2100;0,183764;
180820;2200;0,397788;
180820;2300;0,379897;
180821;0000;0,882234;
180821;0100;1,62636;
180821;0200;1,34661;
180821;0300;1,16692;
180821;0400;0,832609;
180821;0500;1,29726;
180821;0600;1,29563;
180821;0700;2,01313;
180821;0800;1,39036;
180821;0900;1,08027;
180821;1000;0,784913;
180821;1100;1,09432;
180821;1200;1,13505;
180821;1300;1,76965;
180821;1400;0,293631;
180821;1500;0,887817;
180821;1600;2,07824;
180821;1700;1,46666;
180821;1800;0,857396;
180821;1900;1,51411;
180821;2000;1,1515;
180821;2100;0,69949;
180821;2200;1,03331;
180821;2300;1,37651;
180822;0000;1,2463;
180822;0100;0,632958;
180822;0200;0,878935;
180822;0300;0,573314;
180822;0400;1,33838;
180822;0500;0,998211;
180822;0600;1,02677;
180822;0700;0,562023;
180822;0800;1,57464;
180822;0900;1,33534;
180822;1000;1,67517;
180822;1100;2,1415;
180822;1200;2,09647;
180822;1300;1,06805;
180822;1400;2,02794;
180822;1500;1,63862;
180822;1600;2,49621;
180822;1700;2,23524;
180822;1800;1,92582;
180822;1900;0,880632;
180822;2000;1,51552;
180822;2100;0,403491;
180822;2200;1,41037;
180822;2300;0,29816;
180823;0000;0,414751;
180823;0100;0,467032;
180823;0200;0,324294;
180823;0300;0,943442;
180823;0400;0,928318;
180823;0500;0,252642;
180823;0600;0,366443;
180823;0700;1,19579;
180823;0800;0,962851;
180823;0900;0,940513;
180823;1000;1,3006;
180823;1100;2,68486;
180823;1200;2,89869;
180823;1300;2,68628;
180823;1400;3,22016;
180823;1500;3,23023;
180823;1600;2,22966;
180823;1700;1,40501;
180823;1800;1,10505;
180823;1900;1,9954;
180823;2000;2,00943;
180823;2100;0,752318;
180823;2200;0,315704;
180823;2300;0,425099;
180824;0000;0,212101;
180824;0100;0,485779;
180824;0200;0,289697;
180824;0300;0,550722;
180824;0400;0,361552;
180824;0500;0,0754451;
180824;0600;0,230483;
180824;0700;0,179436;
180824;0800;0,144834;
180824;0900;0,570482;
180824;1000;2,99088;
180824;1100;3,71715;
180824;1200;3,97919;
180824;1300;3,75027;
180824;1400;4,0727;
180824;1500;4,17531;
180824;1600;4,64447;
180824;1700;4,13473;
180824;1800;2,94889;
180824;1900;1,88781;
180824;2000;1,04489;
180824;2100;0,629088;
180824;2200;0,271485;
180824;2300;0,362369;
180825;0000;0,343472;
180825;0100;0,332424;
180825;0200;0,283061;
180825;0300;0,46563;
180825;0400;0,312746;
180825;0500;0,108178;
180825;0600;0,224592;
180825;0700;0,400487;
180825;0800;0,448845;
180825;0900;0,238416;
180825;1000;0,733474;
180825;1100;3,55188;
180825;1200;3,63339;
180825;1300;3,41475;
180825;1400;3,7335;
180825;1500;2,38312;
180825;1600;2,85515;
180825;1700;2,12159;
180825;1800;1,77733;
180825;1900;0,35685;
180825;2000;0,646367;
180825;2100;0,365573;
180825;2200;0,346849;
180825;2300;0,0502267;
180826;0000;0,0965352;
180826;0100;0,573445;
180826;0200;0,139631;
180826;0300;0,135625;
180826;0400;0,344947;
180826;0500;0,116044;
180826;0600;0,197286;
180826;0700;0,284563;
180826;0800;0,193636;
180826;0900;0,315154;
180826;1000;2,5057;
180826;1100;1,79946;
180826;1200;1,62147;
180826;1300;1,56913;
180826;1400;2,63187;
180826;1500;2,38777;
