FECHA (YYMMDD);HORA (HHMM);;
180730;0100;0,206272;
180730;0200;0,141702;
180730;0300;0,140111;
180730;0400;0,304239;
180730;0500;0,113732;
180730;0600;0,106025;
180730;0700;0,185375;
180730;0800;0,157169;
180730;0900;0,198337;
180730;1000;0,276639;
180730;1100;1,1945;
180730;1200;1,85802;
180730;1300;1,73217;
180730;1400;1,76415;
180730;1500;1,5809;
180730;1600;1,42777;
180730;1700;0,594028;
180730;1800;0,378234;
180730;1900;0,381201;
180730;2000;0,812689;
180730;2100;0,48155;
180730;2200;0,290224;
180730;2300;0,190815;
180731;0000;0,457082;
180731;0100;0,14694;
180731;0200;0,565557;
180731;0300;0,291887;
180731;0400;0,374146;
180731;0500;0,287261;
180731;0600;0,362162;
180731;0700;0,48506;
180731;0800;0,394927;
180731;0900;1,05663;
180731;1000;0,388803;
180731;1100;0,578964;
180731;1200;0,222607;
180731;1300;0,828906;
180731;1400;1,6251;
180731;1500;1,80108;
180731;1600;1,29477;
180731;1700;0,526614;
180731;1800;0,343509;
180731;1900;1,45431;
180731;2000;1,00806;
180731;2100;0,794469;
180731;2200;0,258387;
180731;2300;0,0860695;
180801;0000;0,11749;
180801;0100;0,410724;
180801;0200;0,325987;
180801;0300;0,246613;
180801;0400;0,317127;
180801;0500;0,113609;
180801;0600;0,45996;
180801;0700;0,11966;
180801;0800;0,402453;
180801;0900;0,735934;
180801;1000;1,34654;
180801;1100;0,681833;
180801;1200;0,420433;
180801;1300;1,31582;
180801;1400;1,10532;
180801;1500;1,27584;
180801;1600;1,02165;
180801;1700;1,10826;
180801;1800;0,592825;
180801;1900;0,384072;
180801;2000;0,090923;
180801;2100;0,164471;
180801;2200;0,303358;
180801;2300;0,507124;
180802;0000;0,625515;
180802;0100;0,685217;
180802;0200;0,777152;
180802;0300;1,33996;
180802;0400;0,90948;
180802;0500;0,478222;
180802;0600;0,976311;
180802;0700;0,753617;
180802;0800;0,753603;
180802;0900;0,581514;
180802;1000;0,731456;
180802;1100;0,637385;
180802;1200;1,17214;
180802;1300;1,50234;
180802;1400;1,16577;
180802;1500;1,29694;
180802;1600;0,607332;
180802;1700;0,310854;
180802;1800;0,719462;
180802;1900;0,443661;
180802;2000;0,678701;
180802;2100;0,356237;
180802;2200;0,470093;
180802;2300;0,72268;
180803;0000;0,376911;
180803;0100;0,272325;
180803;0200;0,59679;
180803;0300;0,313775;
180803;0400;0,184201;
180803;0500;0,274555;
180803;0600;0,169136;
180803;0700;0,257005;
180803;0800;0,324652;
180803;0900;0,774311;
180803;1000;0,0799083;
180803;1100;0,425791;
180803;1200;1,01779;
180803;1300;1,44758;
180803;1400;1,47146;
180803;1500;1,67197;
180803;1600;1,78851;
180803;1700;1,52636;
180803;1800;0,456326;
180803;1900;0,664021;
180803;2000;0,774226;
180803;2100;0,642995;
180803;2200;0,207925;
180803;2300;0,141307;
180804;0000;0,1679;
180804;0100;0,258645;
180804;0200;0,233419;
180804;0300;0,105254;
